window1,topic1,topic1_words,window2,successors,successors_words,successors_similarities,coverage_forward,coverage_backward,coverage_sum_forward,coverage_sum_backward,relation
2,5,"['milton', 'hurricane', 'evacuation', 'shelter', 'storm', 'county', 'florida', 'evacuate', 'please', 'mayor']",3,[],[],[],[],[],0.0,0.0,disappeared
2,6,"['election', 'donald', 'chinese', 'investigation', 'trump', 'security', 'communist', 'china', 'bureau', 'party']",3,[],[],[],[],[],0.0,0.0,disappeared
2,7,"['water', 'lead', 'pipe', 'environmental', 'clean', 'protection', 'replace', 'drinking', 'infrastructure', 'protect']",3,[],[],[],[],[],0.0,0.0,disappeared
2,8,"['manufacturing', 'economy', 'job', 'manufacture', 'manufacturingday', 'manufacturer', 'ohio', 'mfgday', 'business', 'work']",3,[],[],[],[],[],0.0,0.0,disappeared
2,9,"['medicare', 'care', 'donald', 'trump', 'cost', 'health', 'affordable', 'act', 'project', 'senior']",3,[],[],[],[],[],0.0,0.0,disappeared
2,10,"['child', 'care', 'family', 'childcareweekofaction', 'childcare', 'kid', 'cost', 'work', 'pay', 'affordable']",3,[],[],[],[],[],0.0,0.0,disappeared
2,11,"['teacher', 'worldteachersday', 'educator', 'day', 'world', 'happy', 'thank', 'shape', 'inspire', 'student']",3,[],[],[],[],[],0.0,0.0,disappeared
2,12,"['worker', 'port', 'strike', 'union', 'fair', 'contract', 'bargaining', 'ila', 'collective', 'economy']",3,[],[],[],[],[],0.0,0.0,disappeared
2,13,"['cancer', 'breast', 'breastcancerawarenessmonth', 'awareness', 'detection', 'screening', 'early', 'month', 'research', 'survivor']",3,[],[],[],[],[],0.0,0.0,disappeared
2,14,"['abortion', 'woman', 'reproductive', 'ban', 'supreme', 'court', 'care', 'freedom', 'donald', 'texas']",3,[],[],[],[],[],0.0,0.0,disappeared
2,15,"['farmer', 'farm', 'agriculture', 'bill', 'crop', 'producer', 'harvest', 'food', 'support', 'pass']",3,[],[],[],[],[],0.0,0.0,disappeared
2,16,"['game', 'wps', 'win', 'cumberland', 'night', 'football', 'player', 'cheer', 'congrat', 'go']",3,[],[],[],[],[],0.0,0.0,disappeared
2,17,"['vote', 'register', 'election', 'voter', 'registration', 'deadline', 'november', 'voice', 'voting', 'check']",3,[],[],[],[],[],0.0,0.0,disappeared
2,18,"['job', 'unemployment', 'economy', 'september', 'report', 'wage', 'growth', 'expectation', 'create', 'add']",3,[],[],[],[],[],0.0,0.0,disappeared
2,19,"['climate', 'energy', 'clean', 'reduction', 'act', 'emission', 'change', 'inflation', 'weather', 'rebate']",3,[],[],[],[],[],0.0,0.0,disappeared
3,0,"['kamala', 'hurricane', 'federal', 'help', 'community', 'need', 'milton', 'work', 'biden', 'joe']",4,[],[],[],[],[],0.0,0.0,disappeared
3,1,"['israel', 'hamas', 'attack', 'hostage', 'year', 'one', 'terrorist', 'october', 'people', 'stand']",4,[],[],[],[],[],0.0,0.0,disappeared
3,2,"['yom', 'kippur', 'wish', 'meaningful', 'fast', 'observe', 'mar', 'chatima', 'easy', 'tovah']",4,[2],"[['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'easy', 'reflection']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
3,3,"['daca', 'dreamer', 'court', 'homeishere', 'circuit', 'case', 'family', 'hear', 'th', 'argument']",4,[14],"[['daca', 'dreamer', 'court', 'homeishere', 'circuit', 'case', 'argument', 'hear', 'family', 'th']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,0,"['hurricane', 'milton', 'emergency', 'federal', 'management', 'helene', 'disaster', 'agency', 'county', 'florida']",5,[],[],[],[],[],0.0,0.0,disappeared
4,1,"['kamala', 'harris', 'biden', 'joe', 'border', 'illegal', 'election', 'administration', 'american', 'americans']",5,[0],"[['kamala', 'harris', 'joe', 'biden', 'border', 'illegal', 'crime', 'administration', 'election', 'americans']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
4,2,"['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'easy', 'reflection']",5,[4],"[['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'reflection', 'easy']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,3,"['israel', 'hamas', 'iran', 'attack', 'hostage', 'october', 'jewish', 'must', 'terrorist', 'hold']",5,[],[],[],[],[],0.0,0.0,disappeared
4,4,"['birthday', 'navy', 'usnavy', 'happy', 'thank', 'sea', 'sailor', 'serve', 'brave', 'th']",5,[7],"[['birthday', 'navy', 'usnavy', 'happy', 'sailor', 'serve', 'sea', 'thank', 'brave', 'th']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,5,"['indigenous', 'people', 'indigenouspeoplesday', 'culture', 'day', 'native', 'contribution', 'community', 'history', 'honor']",5,[5],"[['indigenous', 'people', 'indigenouspeoplesday', 'day', 'culture', 'native', 'community', 'contribution', 'history', 'honor']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,6,"['farmer', 'nationalfarmersday', 'farm', 'food', 'feed', 'work', 'day', 'thankafarmer', 'hard', 'agriculture']",5,[],[],[],[],[],0.0,0.0,disappeared
4,7,"['mental', 'health', 'worldmentalhealthday', 'crisis', 'help', 'text', 'care', 'call', 'ronald', 'one']",5,[],[],[],[],[],0.0,0.0,disappeared
4,8,"['child', 'care', 'childcareweekofaction', 'family', 'affordable', 'childcare', 'kid', 'accessible', 'democratic', 'party']",5,[],[],[],[],[],0.0,0.0,disappeared
4,9,"['veteran', 'honor', 'service', 'community', 'veterans', 'medical', 'join', 'serve', 'troop', 'hero']",5,[],[],[],[],[],0.0,0.0,disappeared
4,10,"['student', 'school', 'education', 'teacher', 'high', 'career', 'great', 'community', 'jimmy', 'civic']",5,[],[],[],[],[],0.0,0.0,disappeared
4,11,"['columbus', 'italian', 'day', 'happy', 'christopher', 'columbusday', 'celebrate', 'today', 'heritage', 'american']",5,[13],"[['columbus', 'italian', 'day', 'happy', 'christopher', 'columbusday', 'today', 'celebrate', 'heritage', 'american']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,12,"['nationalcomingoutday', 'equalitycaucus', 'lgbtq', 'live', 'happy', 'come', 'openly', 'queer', 'authentic', 'lgbtqi']",5,[10],"[['nationalcomingoutday', 'equalitycaucus', 'lgbtq', 'live', 'come', 'happy', 'lgbtqi', 'openly', 'queer', 'authentic']]",[1.0],[1.0],[1.0],1.0,1.0,continued
4,13,"['lead', 'pipe', 'water', 'drinking', 'replace', 'environmental', 'protection', 'clean', 'rule', 'infrastructure']",5,[],[],[],[],[],0.0,0.0,disappeared
4,14,"['daca', 'dreamer', 'court', 'homeishere', 'circuit', 'case', 'argument', 'hear', 'family', 'th']",5,[],[],[],[],[],0.0,0.0,disappeared
4,15,"['cybersecurity', 'chinese', 'fintech', 'security', 'legislation', 'china', 'national', 'cyber', 'act', 'communist']",5,[],[],[],[],[],0.0,0.0,disappeared
4,16,"['project', 'water', 'dam', 'lake', 'housing', 'river', 'infrastructure', 'million', 'improve', 'community']",5,[],[],[],[],[],0.0,0.0,disappeared
4,17,"['academy', 'nomination', 'application', 'service', 'military', 'apply', 'internship', 'interested', 'house', 'student']",5,[],[],[],[],[],0.0,0.0,disappeared
5,0,"['kamala', 'harris', 'joe', 'biden', 'border', 'illegal', 'crime', 'administration', 'election', 'americans']",6,[],[],[],[],[],0.0,0.0,disappeared
5,1,"['hurricane', 'milton', 'helene', 'emergency', 'federal', 'management', 'disaster', 'agency', 'assistance', 'recovery']",6,[],[],[],[],[],0.0,0.0,disappeared
5,2,"['israel', 'hamas', 'sinwar', 'yahya', 'terrorist', 'hostage', 'attack', 'october', 'gaza', 'leader']",6,[1],"[['israel', 'hamas', 'sinwar', 'yahya', 'terrorist', 'hostage', 'attack', 'october', 'leader', 'gaza']]",[1.0],[1.0],[1.0],1.0,1.0,continued
5,3,"['community', 'project', 'business', 'water', 'million', 'infrastructure', 'proud', 'funding', 'great', 'federal']",6,[],[],[],[],[],0.0,0.0,disappeared
5,4,"['yom', 'kippur', 'wish', 'meaningful', 'observe', 'fast', 'mar', 'chatima', 'reflection', 'easy']",6,[],[],[],[],[],0.0,0.0,disappeared
5,5,"['indigenous', 'people', 'indigenouspeoplesday', 'day', 'culture', 'native', 'community', 'contribution', 'history', 'honor']",6,[2],"[['indigenous', 'people', 'day', 'indigenouspeoplesday', 'culture', 'community', 'native', 'history', 'contribution', 'honor']]",[1.0],[1.0],[1.0],1.0,1.0,continued
5,6,"['medicare', 'enrollment', 'senior', 'drug', 'open', 'cost', 'prescription', 'plan', 'december', 'start']",6,[],[],[],[],[],0.0,0.0,disappeared
5,7,"['birthday', 'navy', 'usnavy', 'happy', 'sailor', 'serve', 'sea', 'thank', 'brave', 'th']",6,[],[],[],[],[],0.0,0.0,disappeared
5,8,"['farmer', 'nationalfarmersday', 'farm', 'feed', 'agriculture', 'producer', 'day', 'rancher', 'work', 'food']",6,[],[],[],[],[],0.0,0.0,disappeared
5,9,"['office', 'help', 'agency', 'hour', 'passport', 'federal', 'mobile', 'assistance', 'team', 'service']",6,[],[],[],[],[],0.0,0.0,disappeared
5,10,"['nationalcomingoutday', 'equalitycaucus', 'lgbtq', 'live', 'come', 'happy', 'lgbtqi', 'openly', 'queer', 'authentic']",6,[],[],[],[],[],0.0,0.0,disappeared
5,11,"['chinese', 'china', 'communist', 'military', 'vladimir', 'party', 'russia', 'john', 'taiwan', 'security']",6,[],[],[],[],[],0.0,0.0,disappeared
5,12,"['school', 'student', 'teacher', 'education', 'high', 'career', 'college', 'community', 'work', 'great']",6,[],[],[],[],[],0.0,0.0,disappeared
5,13,"['columbus', 'italian', 'day', 'happy', 'christopher', 'columbusday', 'today', 'celebrate', 'heritage', 'american']",6,[3],"[['columbus', 'happy', 'day', 'italian', 'christopher', 'columbusday', 'celebrate', 'today', 'american', 'new']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
5,14,"['child', 'care', 'childcareweekofaction', 'childcare', 'family', 'affordable', 'head', 'kid', 'parent', 'tax']",6,[],[],[],[],[],0.0,0.0,disappeared
5,15,"['health', 'care', 'center', 'nursing', 'healthcare', 'access', 'medical', 'community', 'rural', 'discuss']",6,[],[],[],[],[],0.0,0.0,disappeared
6,0,"['kamala', 'community', 'harris', 'work', 'joe', 'biden', 'help', 'federal', 'make', 'need']",7,[],[],[],[],[],0.0,0.0,disappeared
6,1,"['israel', 'hamas', 'sinwar', 'yahya', 'terrorist', 'hostage', 'attack', 'october', 'leader', 'gaza']",7,[1],"[['israel', 'sinwar', 'hamas', 'yahya', 'terrorist', 'hostage', 'attack', 'leader', 'october', 'death']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
6,2,"['indigenous', 'people', 'day', 'indigenouspeoplesday', 'culture', 'community', 'native', 'history', 'contribution', 'honor']",7,[],[],[],[],[],0.0,0.0,disappeared
6,3,"['columbus', 'happy', 'day', 'italian', 'christopher', 'columbusday', 'celebrate', 'today', 'american', 'new']",7,[],[],[],[],[],0.0,0.0,disappeared
6,4,"['cancer', 'breast', 'breastcancerawarenessmonth', 'detection', 'early', 'awareness', 'month', 'screening', 'mammogram', 'nationalmammographyday']",7,[14],"[['cancer', 'breast', 'breastcancerawarenessmonth', 'detection', 'early', 'screening', 'mammogram', 'month', 'nationalmammographyday', 'awareness']]",[1.0],[1.0],[1.0],1.0,1.0,continued
7,0,"['community', 'great', 'work', 'support', 'thank', 'help', 'water', 'family', 'new', 'proud']",8,[],[],[],[],[],0.0,0.0,disappeared
7,1,"['israel', 'sinwar', 'hamas', 'yahya', 'terrorist', 'hostage', 'attack', 'leader', 'october', 'death']",8,[],[],[],[],[],0.0,0.0,disappeared
7,2,"['kamala', 'border', 'harris', 'illegal', 'joe', 'biden', 'alien', 'country', 'immigrant', 'southern']",8,[],[],[],[],[],0.0,0.0,disappeared
7,3,"['hurricane', 'emergency', 'management', 'disaster', 'helene', 'agency', 'federal', 'assistance', 'recovery', 'milton']",8,[],[],[],[],[],0.0,0.0,disappeared
7,4,"['donald', 'trump', 'crime', 'report', 'investigation', 'secret', 'bureau', 'of', 'july', 'violent']",8,[],[],[],[],[],0.0,0.0,disappeared
7,5,"['kamala', 'joe', 'biden', 'harris', 'inflation', 'economy', 'debt', 'americans', 'administration', 'spending']",8,[],[],[],[],[],0.0,0.0,disappeared
7,6,"['abortion', 'woman', 'reproductive', 'access', 'control', 'birth', 'care', 'contraception', 'ban', 'health']",8,[3],"[['abortion', 'woman', 'access', 'reproductive', 'birth', 'control', 'contraception', 'ban', 'care', 'health']]",[1.0],[1.0],[1.0],1.0,1.0,continued
7,7,"['app', 'academy', 'challenge', 'congressional', 'student', 'deadline', 'submit', 'nomination', 'application', 'apply']",8,[],[],[],[],[],0.0,0.0,disappeared
7,8,"['medicare', 'drug', 'cost', 'senior', 'enrollment', 'care', 'prescription', 'cap', 'open', 'insulin']",8,[],[],[],[],[],0.0,0.0,disappeared
7,9,"['lgbtq', 'hrc', 'scorecard', 'equality', 'proud', 'score', 'perfect', 'right', 'congressional', 'receive']",8,[6],"[['lgbtq', 'hrc', 'scorecard', 'equality', 'score', 'proud', 'perfect', 'congressional', 'receive', 'right']]",[1.0],[1.0],[1.0],1.0,1.0,continued
7,10,"['vote', 'early', 'voting', 'election', 'ballot', 'mail', 'register', 'voter', 'day', 'location']",8,[5],"[['vote', 'election', 'early', 'voting', 'voter', 'ballot', 'register', 'mail', 'day', 'today']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
7,11,"['office', 'federal', 'agency', 'help', 'assistance', 'need', 'team', 'hour', 'service', 'mobile']",8,[],[],[],[],[],0.0,0.0,disappeared
7,12,"['donald', 'tax', 'trump', 'stopproject', 'project', 'cut', 'taxis', 'class', 'would', 'cost']",8,[],[],[],[],[],0.0,0.0,disappeared
7,13,"['birthday', 'happy', 'vp', 'madam', 'wish', 'leadership', 'love', 'president', 'wonderful', 'vice']",8,[],[],[],[],[],0.0,0.0,disappeared
7,14,"['cancer', 'breast', 'breastcancerawarenessmonth', 'detection', 'early', 'screening', 'mammogram', 'month', 'nationalmammographyday', 'awareness']",8,[],[],[],[],[],0.0,0.0,disappeared
7,15,"['chinese', 'communist', 'china', 'party', 'dji', 'taiwan', 'drone', 'military', 'company', 'obama']",8,[],[],[],[],[],0.0,0.0,disappeared
8,0,"['community', 'help', 'federal', 'thank', 'work', 'great', 'support', 'service', 'family', 'county']",9,[],[],[],[],[],0.0,0.0,disappeared
8,1,"['kamala', 'border', 'harris', 'illegal', 'joe', 'biden', 'migrant', 'open', 'immigrant', 'czar']",9,[],[],[],[],[],0.0,0.0,disappeared
8,2,"['israel', 'iran', 'stand', 'united', 'terrorist', 'ally', 'hamas', 'attack', 'nations', 'iranian']",9,[2],"[['israel', 'iran', 'united', 'terrorist', 'stand', 'nations', 'hamas', 'attack', 'ally', 'must']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
8,3,"['abortion', 'woman', 'access', 'reproductive', 'birth', 'control', 'contraception', 'ban', 'care', 'health']",9,[],[],[],[],[],0.0,0.0,disappeared
8,4,"['kamala', 'biden', 'joe', 'harris', 'inflation', 'energy', 'administration', 'economy', 'price', 'american']",9,[4],"[['kamala', 'joe', 'biden', 'harris', 'inflation', 'price', 'american', 'americans', 'administration', 'energy']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
8,5,"['vote', 'election', 'early', 'voting', 'voter', 'ballot', 'register', 'mail', 'day', 'today']",9,[],[],[],[],[],0.0,0.0,disappeared
8,6,"['lgbtq', 'hrc', 'scorecard', 'equality', 'score', 'proud', 'perfect', 'congressional', 'receive', 'right']",9,[],[],[],[],[],0.0,0.0,disappeared
8,7,"['medicare', 'drug', 'cost', 'senior', 'enrollment', 'cap', 'price', 'prescription', 'low', 'care']",9,[],[],[],[],[],0.0,0.0,disappeared
8,8,"['secret', 'report', 'donald', 'trump', 'july', 'service', 'task', 'failure', 'interim', 'force']",9,[],[],[],[],[],0.0,0.0,disappeared
8,9,"['retail', 'crime', 'fightretailcrimeday', 'organize', 'combat', 'fighter', 'act', 'nrfnew', 'business', 'law']",9,[6],"[['crime', 'retail', 'fightretailcrimeday', 'organize', 'combat', 'fighter', 'act', 'business', 'gun', 'nrfnew']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
8,10,"['chinese', 'communist', 'china', 'drone', 'taiwan', 'party', 'dji', 'military', 'south', 'africa']",9,[],[],[],[],[],0.0,0.0,disappeared
8,11,"['tax', 'donald', 'trump', 'class', 'middle', 'cut', 'cost', 'corporation', 'republicans', 'project']",9,[],[],[],[],[],0.0,0.0,disappeared
9,0,"['community', 'thank', 'help', 'work', 'federal', 'great', 'support', 'honor', 'first', 'new']",10,[],[],[],[],[],0.0,0.0,disappeared
9,1,"['kamala', 'border', 'harris', 'joe', 'biden', 'illegal', 'administration', 'czar', 'alien', 'migrant']",10,[2],"[['border', 'kamala', 'harris', 'illegal', 'joe', 'biden', 'alien', 'czar', 'migrant', 'open']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
9,2,"['israel', 'iran', 'united', 'terrorist', 'stand', 'nations', 'hamas', 'attack', 'ally', 'must']",10,[],[],[],[],[],0.0,0.0,disappeared
9,3,"['vote', 'election', 'ballot', 'early', 'voting', 'mail', 'voter', 'day', 'request', 'voice']",10,[],[],[],[],[],0.0,0.0,disappeared
9,4,"['kamala', 'joe', 'biden', 'harris', 'inflation', 'price', 'american', 'americans', 'administration', 'energy']",10,[],[],[],[],[],0.0,0.0,disappeared
9,5,"['abortion', 'reproductive', 'woman', 'access', 'ban', 'roe', 'care', 'birth', 'control', 'stopproject']",10,[],[],[],[],[],0.0,0.0,disappeared
9,6,"['crime', 'retail', 'fightretailcrimeday', 'organize', 'combat', 'fighter', 'act', 'business', 'gun', 'nrfnew']",10,[],[],[],[],[],0.0,0.0,disappeared
9,7,"['lgbtq', 'equality', 'hate', 'hrc', 'shepard', 'matthew', 'scorecard', 'lgbtqi', 'byrd', 'right']",10,[],[],[],[],[],0.0,0.0,disappeared
9,8,"['tax', 'pay', 'donald', 'class', 'corporation', 'republicans', 'middle', 'trump', 'cut', 'democrats']",10,[],[],[],[],[],0.0,0.0,disappeared
9,9,"['antisemitism', 'tree', 'synagogue', 'life', 'jewish', 'pittsburgh', 'hate', 'six', 'ago', 'year']",10,[13],"[['antisemitism', 'hate', 'jewish', 'tree', 'synagogue', 'life', 'antisemitic', 'pittsburgh', 'ago', 'six']]",[0.818],[1.0],[1.0],1.0,1.0,unclear
9,10,"['chinese', 'communist', 'china', 'party', 'taiwan', 'military', 'dji', 'lynch', 'kamala', 'must']",10,[],[],[],[],[],0.0,0.0,disappeared
9,11,"['medicare', 'price', 'cost', 'drug', 'senior', 'cap', 'care', 'prescription', 'pharma', 'insulin']",10,[],[],[],[],[],0.0,0.0,disappeared
9,12,"['donald', 'trump', 'president', 'dictator', 'say', 'fascist', 'realdonaldtrump', 'hitler', 'rhetoric', 'election']",10,[],[],[],[],[],0.0,0.0,disappeared
10,0,"['vote', 'election', 'ballot', 'voter', 'early', 'voting', 'citizen', 'court', 'mail', 'day']",11,[],[],[],[],[],0.0,0.0,disappeared
10,1,"['million', 'infrastructure', 'port', 'water', 'clean', 'funding', 'energy', 'federal', 'rail', 'environmental']",11,[],[],[],[],[],0.0,0.0,disappeared
10,2,"['border', 'kamala', 'harris', 'illegal', 'joe', 'biden', 'alien', 'czar', 'migrant', 'open']",11,[],[],[],[],[],0.0,0.0,disappeared
10,3,"['halloween', 'happy', 'safe', 'fun', 'everyone', 'wish', 'treat', 'spooky', 'night', 'trick']",11,[1],"[['halloween', 'happy', 'safe', 'fun', 'everyone', 'wish', 'treat', 'night', 'spooky', 'trick']]",[1.0],[1.0],[1.0],1.0,1.0,continued
10,4,"['israel', 'iran', 'stand', 'ally', 'terrorist', 'hamas', 'iranian', 'ukraine', 'must', 'unrwa']",11,[],[],[],[],[],0.0,0.0,disappeared
10,5,"['kamala', 'joe', 'biden', 'job', 'harris', 'economy', 'report', 'economic', 'inflation', 'americans']",11,[],[],[],[],[],0.0,0.0,disappeared
10,6,"['responder', 'first', 'nationalfirstrespondersday', 'day', 'thank', 'community', 'safe', 'keep', 'brave', 'firefighter']",11,[],[],[],[],[],0.0,0.0,disappeared
10,7,"['native', 'heritage', 'month', 'filipino', 'american', 'celebrate', 'culture', 'history', 'contribution', 'happy']",11,[],[],[],[],[],0.0,0.0,disappeared
10,8,"['diwali', 'light', 'celebrate', 'wish', 'festival', 'happy', 'may', 'prosperity', 'celebration', 'joy']",11,[2],"[['diwali', 'light', 'celebrate', 'wish', 'happy', 'festival', 'may', 'prosperity', 'celebration', 'joy']]",[1.0],[1.0],[1.0],1.0,1.0,continued
10,9,"['biden', 'joe', 'donald', 'trump', 'garbage', 'investigation', 'of', 'bureau', 'call', 'president']",11,[],[],[],[],[],0.0,0.0,disappeared
10,10,"['medicare', 'care', 'health', 'enrollment', 'affordable', 'coverage', 'open', 'act', 'cost', 'plan']",11,[],[],[],[],[],0.0,0.0,disappeared
10,11,"['farm', 'farmer', 'agriculture', 'food', 'tour', 'ag', 'work', 'community', 'support', 'bill']",11,[],[],[],[],[],0.0,0.0,disappeared
10,12,"['veteran', 'honor', 'sacrifice', 'deploy', 'service', 'navy', 'family', 'military', 'medal', 'thank']",11,[],[],[],[],[],0.0,0.0,disappeared
10,13,"['antisemitism', 'hate', 'jewish', 'tree', 'synagogue', 'life', 'antisemitic', 'pittsburgh', 'ago', 'six']",11,[],[],[],[],[],0.0,0.0,disappeared
10,14,"['health', 'veteran', 'care', 'mental', 'center', 'healthcare', 'provide', 'support', 'senior', 'service']",11,[],[],[],[],[],0.0,0.0,disappeared
10,15,"['abortion', 'woman', 'ban', 'reproductive', 'care', 'freedom', 'access', 'roe', 'josseli', 'health']",11,[],[],[],[],[],0.0,0.0,disappeared
10,16,"['disaster', 'hurricane', 'emergency', 'management', 'agency', 'federal', 'helene', 'assistance', 'milton', 'recover']",11,[],[],[],[],[],0.0,0.0,disappeared
10,17,"['office', 'help', 'agency', 'federal', 'need', 'assistance', 'constituent', 'hour', 'reach', 'team']",11,[],[],[],[],[],0.0,0.0,disappeared
10,18,"['student', 'school', 'high', 'great', 'thank', 'talk', 'work', 'community', 'conversation', 'town']",11,[],[],[],[],[],0.0,0.0,disappeared
11,0,"['kamala', 'biden', 'joe', 'harris', 'community', 'make', 'work', 'vote', 'family', 'year']",12,[],[],[],[],[],0.0,0.0,disappeared
11,1,"['halloween', 'happy', 'safe', 'fun', 'everyone', 'wish', 'treat', 'night', 'spooky', 'trick']",12,[],[],[],[],[],0.0,0.0,disappeared
11,2,"['diwali', 'light', 'celebrate', 'wish', 'happy', 'festival', 'may', 'prosperity', 'celebration', 'joy']",12,[],[],[],[],[],0.0,0.0,disappeared
