case_study,topic_top_words,topic_representative_tweets,adjacent_topics_top_words,adjacent_topics_representative_tweets,original,forward_only,lexical_only,no_coverage
65_19,"energy, coal, fossil, power, fuel, solar, nuclear, order, executive, america","Tweet 1: I am invoking the Congressional Review Act to stop Governor Newsom's gas car ban from going into effect. Outlawing all gas-powered vehicles by 2035 is an insane policy that must be reversed. https://t.co/RwWa9zyTFi
Tweet 2: These executive orders that President Trump signed today reflect not just a temporary reprieve in the war against coal, but really a revolutionary break from the Biden administration’s pessimistic philosophy of scarcity.

Read more ⤵️
https://t.co/DT0ntxfTu0
Tweet 3: Fossil fuel thugs in action again, using U.S. government as their tool.
https://t.co/K9T4ulLWkm
","Topic 10: farmer, farm, energy, agriculture, water, local, disaster, ag, work, community

Topic 5: tariff, donald, trump, business, trade, cost, economy, small, president, war

Topic 17: day, first, congress, th, senate, mark, start, deliver, get, house

","Topic 10:
Tweet 1: No one does energy like Wyoming. Read more on how the Cowboy State is powering America’s future⬇️
https://t.co/ctqF8MVjeI
Tweet 2: Appreciated hearing from local and county leaders and business owners in Welch, like Robert Diaz, about local recovery efforts already underway, as well as the community’s infrastructure needs. https://t.co/jjAGj28aGf
Tweet 3: Thanks to their efforts, along with the support from the National Park Service and Dare County, the area is gradually being reopened to the public.

Superintendent Hallac also showed me some oceanfront homes threatened by beach erosion.

Topic 5:
Tweet 1: President Macron just said it was wrong to make Haitians pay for their own freedom.

But in America, Trump is slapping tariffs on Haitians already suffering and cutting assistance to Haiti.

It's indefensible.

America must support our neighbors in Haiti.

https://t.co/ERas09IN9C
Tweet 2: The American people are sick and tired of the president’s constant chaos, incompetence and utter recklessness when it comes to the economy.

The time has come for Republicans in Congress to speak out and stand up to the President before it’s too late.
Tweet 3: Every time a potential tourist chooses not to come to America because of Trump's chaotic trade war, that directly hurts our workers and businesses that count on tourism - especially in Nevada.
 
https://t.co/9wEuC2sKnQ

Topic 17:
Tweet 1: It's been 100 days since the start of the 119th Congress! I will share some of GA07's legislative and constituent wins this week. It has been a busy couple of months, and I am excited to share what we have accomplished thus far. Stay tuned!💯 https://t.co/BmCrYbJKfv
Tweet 2: It’s been a productive week in Washington:
✅ Sent the budget to the President’s desk to kick start our America first agenda

✅ Passed the SAVE Act to secure our elections and the No Rogue Rulings Act to end nationwide injunctions

✅ Brought countries to the negotiating table to address our trade imbalance while staying tough on China

… and so much more. (Subscribe to my newsletter for the full rundown!)
Tweet 3: In my first 100 days of the 119th Congress, I made sure the voices of the people were heard over the billionaires. The fight doesn’t stop here—I’m committed to working for the people of the #FightingFifth. https://t.co/VB5liUWmuJ

",disappeared,disappeared,disappeared,merge
9_7,"lgbtq, equality, hate, hrc, shepard, matthew, scorecard, lgbtqi, byrd, right","Tweet 1: Project 2025 is an assault on the rights of LGBTQI+ Americans, and it's no surprise that MAGA Republicans want to take us back as a nation.

Since taking the majority in 2022, House Republicans have introduced 85+ anti-LGBTQI+ bills.

We must stop Trump's Project 2025.
Tweet 2: Article I, Section 24, of the South Carolina Constitution includes a Victim’s Bill of Rights:

https://t.co/1EDctNVbtx
Tweet 3: The Project 2025 playbook is already in use. @HouseGOP is using it to demonize LGBTQI+ people, especially transgender people, stripping away non-discrimination protections for our community. @EqualityCaucus has been fighting back, and won't let it happen. https://t.co/bSzxamw85q
","Topic 13: antisemitism, hate, jewish, tree, synagogue, life, antisemitic, pittsburgh, ago, six

Topic 9: biden, joe, donald, trump, garbage, investigation, of, bureau, call, president

Topic 15: abortion, woman, ban, reproductive, care, freedom, access, roe, josseli, health

","Topic 13:
Tweet 1: 6 years ago today, 11 Jewish Americans were murdered while attending services at the Tree of Life synagogue in Pittsburgh, making it the deadliest antisemitic attack in U.S. history.

Today, we honor their memories and recommit to fighting antisemitism.
Tweet 2: The @EdWorkforceCmte report reveals @Harvard President Alan Garber recognized the “genocidal implication” of the chant “from the river to the sea” but REFUSED to label it as antisemitic..

“From the river to the sea” is a statement calling for the eradication of Israel.

Antisemitism is plaguing our universities and rotting them from the inside out.
Tweet 3: Great to join Congregation Torah Ohr at Century Village in Boca Raton for coffee and a discussion about my work in Washington. Every day, I’m finding common ground to support our seniors, combat antisemitism, and put South Florida first. https://t.co/Mt0DXy18kT

Topic 9:
Tweet 1: It is Congress's constitutional duty to hold the executive branch, including the @FBI, accountable to the American people. We won't tolerate a rogue FBI withholding information on an issue as important as this—a foreign enemy attempting to undermine, hack and kill the leading candidate for president.

https://t.co/kP49oQAytH
Tweet 2: 🚨🚨🚨🚨

BREAKING: Read my exclusive oped in the @WSJ about the FBI’s deep corruption regarding foreign election interference from Iran targeting President Trump. 

“I know a corrupt coverup when I see one…We won’t tolerate a rogue FBI withholding information on an issue as important as this—a foreign enemy attempting to undermine, hack and kill the leading candidate for president.”

https://t.co/y0D3PiIqgd
Tweet 3: Yesterday, I sent a letter with my colleague @ValerieFoushee calling for an investigation of the effects of Wall Street speculation on the housing market. Check it out here. https://t.co/VhWBWkXnuA https://t.co/w3mMrAJYMj

Topic 15:
Tweet 1: This is horrific. Women are dying because they can't access the care they need.
 
Extremists in the GOP want to criminalize abortions nationwide, but we are not backing down.
 
Roe wasn't the beginning of women having abortions, it was the end of women dying from abortions.
Tweet 2: Folks with disabilities have long been denied the high-quality healthcare they deserve, and Trump abortion bans have only made things worse.

My resolution recognizes these injustices &amp; confronts them head-on.

Abortion justice is disability justice, and we need both now.
Tweet 3: I helped introduce the bipartisan HOPE with Fertility Services Act earlier this year to make IVF and fertility treatments more affordable for Iowa families. Everyone deserves the opportunity to start or grow their family.
https://t.co/VDUNWMdnNm

",disappeared,disappeared,disappeared,merge
39_18,"dei, federal, government, diversity, merit, order, discrimination, donald, trump, executive","Tweet 1: ""This executive order destroying Diversity, Equity and Inclusion is a betrayal of the hard-fought progress that generations of Americans sacrificed to achieve,"" Congressman Jackson said. ""On the same week we celebrate the life and legacy of Dr. Martin Luther King Jr., President Trump has chosen to dismantle the very programs designed to uphold King’s dream of equality and opportunity for all. This is an affront to the ideals of justice and fairness that define our nation’s highest aspirations.""
Tweet 2: I grew up in the segregated South, and I've seen the evil that is racial discrimination. That's why I've been so disgusted by the Biden administration's DEI push.

The good news: as of yesterday, President Trump removed DEI from every government department.

Merit is back! https://t.co/0tOFSUoBSB
Tweet 3: I'm all for government efficiency, but Trump is coming after our nonpartisan federal civil service to replace them with his cronies.

I'll keep supporting our federal workers so that Americans don't see disruptions in their social security, food safety, and more.
","Topic 0: donald, federal, freeze, trump, funding, program, grant, administration, order, fund

Topic 3: border, ice, criminal, immigration, illegal, donald, trump, immigrant, raid, alien

Topic 10: america, president, first, trump, donald, agenda, back, realdonaldtrump, house, white

","Topic 0:
Tweet 1: Make no mistake, this happened because Donald Trump ordered it to happen.

Many states still face Medicaid portal outages, and his reckless order continues to freeze critical services like food aid, cancer research, and FEMA relief—lifelines for Americans in every zip code.
Tweet 2: @DOGE Killing it already! Lets cut this waste!
Tweet 3: President Trump’s funding freeze will make it harder for people to get basic services they count on. It blocks funding to pay teachers, support first responders, sustain lifesaving medical research, provide mental health services, &amp; house homeless veterans. This cannot stand. https://t.co/B13DFjc2SP

Topic 3:
Tweet 1: Violent, criminal, illegal aliens do not belong in our communities.

Thank you ICE for making our communities safe again.

Americans wanted change and they are starting to see it.
Tweet 2: Border security is national security. 

On week one, President Trump is following through on his plans to secure the border. https://t.co/nEIzZVVyUo
Tweet 3: President Trump continues to make America safe once again. 

Thank you @POTUS!
https://t.co/b50iNvya8I

Topic 10:
Tweet 1: @OANN @realDonaldTrump Thanks for having me on the show!
Tweet 2: Under President Trump, we are bringing innovation back to America. https://t.co/COvb6LPvEU
Tweet 3: America will not be bullied. Thank you President Trump and @secrubio for putting America first!

",disappeared,disappeared,disappeared,disappeared
21_1,"business, small, smallbusinesssaturday, local, support, shop, community, economy, saturday, shopsmall","Tweet 1: Proud to work with @RepGabeVasquez and my colleagues across the aisle to grow our outdoor economy.

https://t.co/WbzEeEIpNQ
Tweet 2: Happy #SmallBusinessSaturday! Today and every day, I am proud to fight for the small businesses in IL-11 that make our area such a special place to live and work. https://t.co/GtbH90PwqG
Tweet 3: On Black Friday, let’s remember who makes all of our holiday shopping possible: millions of workers across the country.

It’s past time to give every single one of these workers what they deserve: protections on the job, good benefits, fair pay, and the right to join a union.
","Topic 13: christmas, tree, holiday, season, light, cheer, capitol, wonderful, ornament, student

Topic 10: student, community, school, intern, honor, thank, great, celebrate, internship, year

Topic 17: farm, farmer, bill, agriculture, producer, pass, rural, food, crop, dairy

","Topic 13:
Tweet 1: Today marks the first day of Advent! As we begin this Christmas season, we come together in expectation and preparation for the birth of our Lord and Savior, Jesus Christ. Let the countdown begin! https://t.co/HqovuvlHLD
Tweet 2: The Nashville Farmers Market's Merry Market was a holiday hit! From s’mores and baked goods to fresh produce, local meats, crafts, and live music, there was something for everyone. It was a day of festive fun and community support as we supported local businesses and enjoyed the season!
Tweet 3: Christmas came early this year!

Last Saturday marked the official birthday of the Chumash Heritage National Marine Sanctuary, the third largest marine sanctuary in U.S. history covering 100+ miles of Central Coast coastline.

Learn more what this sanctuary means for our region⬇️ https://t.co/45DmTlHdxm

Topic 10:
Tweet 1: Honored to accept the Sister Gail Award for Excellence in Advocacy at Hope CommUnity Center’s Annual Fiesta! 

As the proud son of a Cuban immigrant, I’m deeply grateful for this recognition that celebrates the resilience of our immigrant communities and honors the legacy of Hope CommUnity Center’s founders who fought for dignity, compassion, and opportunity for all.
Tweet 2: Big thank you to our Fall 2024 interns – Harry, Dilloni, and Delaney for their work over the past few months. 

This group gave great tours, supported our constituent communications, and assisted our legislative team. https://t.co/OIVrDXTEmd
Tweet 3: This weekend, I had the privilege of honoring LULAC Council 60 at their 90th Anniversary Gala. For nearly a century, this organization has championed civil rights, education, and equity for the Latino community. Here's to their incredible legacy and continued impact! https://t.co/xRfbBtfiS5

Topic 17:
Tweet 1: Because of Schumer’s FAILED leadership, the Senate only has 10 working days to:

-Extend the Farm Bill
-Pass the annual defense bill
-Pass government funding
Tweet 2: While we await a vote on the Farm Bill in the U.S. House, our farmers need assistance now. I am proud to cosponsor the Farmer Assistance and Revenue Mitigation or FARM Act to get small farmers the emergency assistance they may need so they can continue to feed our country. Food security is national security!
Tweet 3: The 18th Congressional District is home to a thriving agricultural industry, &amp; @USDA recently announced a new funding opportunity to help specialty crop growers.

I encourage farmers &amp; producers to take a look.⤵️

",disappeared,disappeared,disappeared,disappeared
105_18,"music, celebrate, festival, community, celebration, parade, thank, great, dominican, happy","Tweet 1: Eddie Palmieri was the master of the black &amp; white keyboard, a composer, bandleader, and a trailblazer. First Latino to win a Grammy award, Eddie put Latin Jazz on the map and always celebrated his Puerto Rican roots.  As a jazz fan, I thank you Eddie for your gift to the world.
Tweet 2: Brushed up my tambourine skills to play with a spirited band during one of the National Night Out parties in Bloomington! https://t.co/irsevGoNvj
Tweet 3: This week’s #TX24 Hometown Hero is Cooper Lutkenhaus, a record-breaking 16-year-old from North Texas who just broke the U18 world record in the 800m and earned a spot on Team USA! https://t.co/Z6NYuPwxRI
","Topic 0: donald, trump, community, work, make, family, president, bill, year, great

Topic 1: social, security, benefit, senior, protect, year, earn, today, hard, americans

Topic 2: vladimir, putin, ukraine, donald, peace, trump, war, president, russia, end

","Topic 0:
Tweet 1: Thank you to Governor DeSantis for delivering on the Crane Creek/M-1 Canal Flow Restoration Project in Melbourne! 

This is a major win for the Indian River Lagoon, restoring natural water flow and keeping thousands of pounds of harmful nutrients out of our waterways each year.
Tweet 2: No one should ever have to endure the heartbreak that the Abbas family has faced. The bipartisan HALT Drunk Driving Law has the power to save thousands of lives each year. It’s time for NHTSA to take decisive action.
Tweet 3: Called out Donald Trump’s reckless decision to cancel union contracts at the #LongBeach VA alongside @AFGENational, AFGE Local 1061, @LALabor - and my colleagues @RepRobertGarcia & @RepDerekTranCA.

Sidelining unions at the VA hurts both workers and the veterans who rely on them. I’ll keep fighting to protect workers’ rights and ensure veterans get the care they’ve earned. @HouseDemocrats will continue to show up to #HonorOurVeterans and #StandUpForWorkers!

Topic 1:
Tweet 1: Social Security was created 90 years ago to protect seniors.

The One Big Beautiful Bill makes it even stronger by ensuring 90% of seniors will keep more of their earnings with no taxes on their Social Security.

Promises made, promises kept.
Tweet 2: It helps nearly 3 million Pennsylvanians buy groceries, pay bills, and afford their rent or mortgage. House Democrats are working to protect and strengthen Social Security, so there can be more money in the pockets of today’s seniors and future generations.

Hands Off our Social Security!
Tweet 3: Read more at: https://t.co/S0Y99wpH0I

Topic 2:
Tweet 1: Putin is a war criminal who should be held accountable for the atrocities Russia has committed in Ukraine. Letting him land in the U.S. if there’s nothing in return makes us look weak.
Tweet 2: President of Peace!
Tweet 3: The fighting must end — pray for peace! https://t.co/oQkazkCzdA

",disappeared,disappeared,disappeared,disappeared
46_15,"valentine, happy, day, love, wife, forever, wish, beautiful, life, bride","Tweet 1: Happy Valentine’s Day to my Gill girls https://t.co/8jCUpM24Hn
Tweet 2: Did we just become best friends?
Tweet 3: Happy Valentine’s Day! Wishing you all a day full of love, joy, and special moments with the ones who matter most. 💞 https://t.co/MwbHjg7uRD
","Topic 5: happy, president, day, presidentsday, potus, white, everyone, donald, elect, reminder

Topic 2: president, day, nation, honor, happy, today, washington, great, america, presidentsday

Topic 0: donald, trump, work, cut, community, make, federal, american, family, musk

","Topic 5:
Tweet 1: But he’s been happy to take a blank check from the United States. 

Ridiculous.
Tweet 2: Happy Presidents’ Day! https://t.co/xg5lkRXoTu
Tweet 3: Happy Presidents’ Day! 

GOD bless President Trump🇺🇸 https://t.co/HdstHy3BBN

Topic 2:
Tweet 1: Happy Presidents' Day!

Today, we celebrate the leaders who have shaped our nation, and the best is yet to come with our 47th President, Donald J. Trump. 🇺🇸 https://t.co/IMfvACkzmk
Tweet 2: 2day I wrote Pres Trump my usual plea to presidents: Give whistleblowers the credit they deserve Honor wbs at a WH rose garden ceremony celebrating their work to hold govt accountable 2the ppl Too often theyre treated like skunks at a picnic
Tweet 3: Happy Presidents Day!

I’m honored to represent South Dakota where those who helped shape our nation are forever represented at Mount Rushmore. https://t.co/Kib78yO1mm

Topic 0:
Tweet 1: I had the opportunity to address the Kiwanis Club of Jackson at their weekly meeting. Established in 1918, Kiwanis has been committed to serving generations of children in our local community, from providing supplies to children in need to mentoring our youth. https://t.co/dsKZmCSzhz
Tweet 2: Gave remarks this morning at the Re-Dedication Ceremony of the Hendricks/Kendall Recreation Center in Portsmouth https://t.co/ChSwifu2rj
Tweet 3: Hey Louis! Don't let the door hit your ass on the way out. Hopefully Trump won't make the same mistake twice at USPS. 

https://t.co/6gfVEn7UFN

",disappeared,disappeared,disappeared,disappeared
102_16,"education, student, school, administration, funding, donald, withhold, trump, teacher, fund","Tweet 1: First, Columbia University caved to President Trump.

Then, Brown University caved.

Now, Harvard is ready to settle for $500 million.

The days of woke policies on American college campuses are OVER.
Tweet 2: Earlier this month, I wrote the Trump administration with my delegation colleagues demanding that they release $162 million in funding for K–12 and adult education programs in New Jersey. (1/2).
https://t.co/5F6gEDcbTD
Tweet 3: A Maury County Schools psychologist just made ‘8647’ their profile picture. Our tax dollars fund this. Remember—countless conservatives have been fired from school districts for professing Christ or refusing the jab. @MauryCoSchools, investigate this immediately. https://t.co/Ks15ibzCHh
","Topic 21: school, student, young, year, teacher, app, kid, summer, work, community

Topic 13: stock, reserve, federal, congress, ban, bank, crypto, trading, financial, use

Topic 22: broadcasting, public, corporation, pbs, alert, emergency, station, npr, news, shut

","Topic 21:
Tweet 1: School is starting back for many children and I wish them all a great and successful school year!
Tweet 2: Last week, I was excited to host members of the @MyFCTA in our district office. We're working together to build a brighter future for our kids—one where every student has the opportunity to succeed and where educators have the resources and support they need to do the work they love.

This is a team effort, and I’m proud to stand with our teachers!
Tweet 3: I always find myself SO impressed with West Michigan’s young, bright students, and these two are no exception! Congratulations on such a successful and powerful short film, Caleb and Daniel, keep dreaming big and achieving great things!
https://t.co/tvUT0xoYyG

Topic 13:
Tweet 1: The federal government shouldn't be able to shut down bank accounts because of outdated reputational risk claims. Having consistently fought against debanking in Congress, I want to thank President Trump for acting on this issue. On the legislative front, I will continue to work to codify these efforts into law by way of the SAFE Banking Act.
Tweet 2: Elder financial exploitation is on the rise, which is why I'm proud to lead the GUARD Act to give law enforcement agencies the tools they need to bring scammers to justice. I’m grateful for the support from our state and local agencies for this critical legislation. https://t.co/v13gXqcJqu
Tweet 3: People should be able to trust the data coming out of our government agencies.

Joined @Rep_Whitesides on this important bill.👇🏼

Topic 22:
Tweet 1: More from @News4SA.⬇️
https://t.co/UEQKOBmFZH
Tweet 2: No wonder Colbert’s show is getting canceled.
Tweet 3: Rep. Gene Wu claimed this was “a serious sacrifice for many members.” Then he tweeted… whatever this is:

https://t.co/wklZsOQLqf

",disappeared,disappeared,disappeared,disappeared
103_13,"stock, reserve, federal, congress, ban, bank, crypto, trading, financial, use","Tweet 1: The federal government shouldn't be able to shut down bank accounts because of outdated reputational risk claims. Having consistently fought against debanking in Congress, I want to thank President Trump for acting on this issue. On the legislative front, I will continue to work to codify these efforts into law by way of the SAFE Banking Act.
Tweet 2: Elder financial exploitation is on the rise, which is why I'm proud to lead the GUARD Act to give law enforcement agencies the tools they need to bring scammers to justice. I’m grateful for the support from our state and local agencies for this critical legislation. https://t.co/v13gXqcJqu
Tweet 3: People should be able to trust the data coming out of our government agencies.

Joined @Rep_Whitesides on this important bill.👇🏼
","Topic 23: accountable, truth, james, donald, hold, trump, hoax, investigation, obama, lie

Topic 15: china, chip, chinese, defense, communist, technology, security, science, act, national

Topic 2: ice, illegal, immigrant, trump, alien, donald, law, deportation, border, criminal

","Topic 23:
Tweet 1: Where this mess leads now remains to be determined, but it has now all the earmarks of a Trump judicial cover-up of Trump executive misconduct, timed to install another Trump judge on the bench, bending if not breaking the law to do that dirty work.
Tweet 2: Three years ago, the FBI raided Mar-a-Lago—a blatant act of partisan lawfare by the Biden Administration. Political targeting like this must never happen again.
Tweet 3: The new declassified reports confirm what we’ve known for years. Obama officials manipulated intelligence to frame Trump, forcing the Steele dossier into official assessments. 

A whistleblower who raised concerns was ignored. This was a clear abuse of power.

Brilliant read by @mirandadevine.

Topic 15:
Tweet 1: 🚩China accounts for nearly 2/3rds of the world's shipbuilding.

❌ The US accounts for only 0.1%.

🚩China has 35 naval shipyards in operation.

❌ The US has only 4.

If we want to prepare to successfully counter China, we need to invest in AI and restoring shipbuilding capacity.
Tweet 2: Jimmy Lai has been a courageous champion for fundamental human rights and freedoms in Communist China since the 1989 Tiananmen Square massacre. Communist China has kept him imprisoned in solitary confinement for the last 4.5 years on baseless charges. His life is at risk. I’m standing with @POTUS to call on @ChineseEmbinUS to resolve Jimmy Lai’s case before he dies in prison.
Tweet 3: I laid out an aggressive strategy to secure American independence and security in critical minerals.

China isn’t pausing to weigh its next moves, and neither should we.
https://t.co/kUDCjMb3mM

Topic 2:
Tweet 1: Joe Biden turned every state into a border state, and his refusal to enforce the law led to devastating consequences. 

Thank goodness President Trump is restoring law and order by deporting illegal aliens.

@FaulknerFocus https://t.co/WmyCZ0acu2
Tweet 2: I’m leading a letter with @repgracemeng and @CAPAC demanding answers on the Trump admin’s arrests and detainments  of immigrants here with legal status. 

In America, everyone—including immigrants—has rights. We must stand up to the assault on our Constitution. https://t.co/xaSCtTSjFk
Tweet 3: 🔔 ICYMI 🔔

@POLITICOPro detailed how @SenPeterWelch &amp; I are working to curb harmful robocalls &amp; better protect Americans from being preyed on by criminal enterprises across the globe.

Thanks @AARP &amp; @USTelecom for their support in fighting back against foreign robocalls. https://t.co/cRkO3vPMLi

",disappeared,disappeared,disappeared,disappeared
59_31,"housing, home, community, development, business, small, trucker, affordable, discuss, county","Tweet 1: To read my letter with @RepJoeMorelle, click below.

https://t.co/0JrBRQizza
Tweet 2: ICYMI: This week, I joined the Central Bucks Chamber of Commerce for a State of the Union Address focused on how we can keep our community and country moving forward and thriving—together.

I heard directly from local business owners, community members, and advocates, about what’s working, where we can do better, and how we can strengthen the connection between federal policy and local progress.

By working hand-in-hand, we can turn ideas into action and challenges into opportunities. Bucks County’s future is bright—and I’ll always fight to make sure it stays that way.
Tweet 3: 3D printed and factory-built homes could help tackle housing crisis https://t.co/hFulVcSreW
","Topic 10: hall, town, pm, telephone, question, tonight, join, constituent, bacon, newsletter

Topic 35: conservation, wildlife, preserve, wetland, park, protect, land, beach, river, natural

Topic 24: farm, farmer, agriculture, bill, iowa, industry, producer, association, discuss, apple

","Topic 10:
Tweet 1: TOWN HALL: I’m headed to Grant County for a public town hall on 4/6 at 12:30 PM PT. 

Hearing from Oregonians about the challenges they face and the issues they care most about is crucial to shaping my work in the Senate—I hope to see you there! https://t.co/hqjdM2FmXK
Tweet 2: Get a call from me tomorrow! Sign up in the link in my bio. https://t.co/I4V3srBF0L
Tweet 3: Great conversation with @joeymdfox on my first six months in Washington. Things may look pretty different from my City Council days but one thing remains the same: I will never stop fighting for the people of NJ-10. https://t.co/fO789D4m7E

Topic 35:
Tweet 1: Manatees are one of Florida’s greatest treasures and the canary in the coal mine for our waterways – their health reflects the state of our environment. I’ll keep fighting for clean water to protect them and our communities. https://t.co/Ez8DMaEfdX
Tweet 2: RFK Jr. is trying to run the same 'natural experiment' in Texas that he conducted in Samoa.
Tweet 3: Just wrapped up my tour of the Chickamauga Lock. Thank you to @MayorTimKelly and everyone who joined today. 

Together, we’ll ensure our water infrastructure projects get the support they need to keep our economy rolling. https://t.co/dOz1NBE2mU

Topic 24:
Tweet 1: Check out my latest e-newsletter to learn about recent work to support education and agriculture, as well as other updates on issues facing our country! https://t.co/erypSV5Oyx
Tweet 2: Joined the San Joaquin Farm Bureau to hear what our farmers need right now. Delta Tunnel, tariffs and cutting red tape all came up. Appreciate you all taking the time to share concerns, D.C. needs to hear it! https://t.co/xbBmWkIwJM
Tweet 3: Today was a fantastic day at the 53rd annual Mel Mello Farm Day in Half Moon Bay!
I was honored to present awards to farmers, farmworkers, and community leaders who tirelessly work to make our land a source of prosperity, nutrition, and delight. https://t.co/ubTy3wukVi

",disappeared,disappeared,disappeared,disappeared
115_14,"god, nation, lord, thump, bless, america, believe, psalm, prayer, pray","Tweet 1: This has to end. https://t.co/Jwq9XDuaFP
Tweet 2: So you want a name different from your given name because you feel it more accurately reflects your identity? Interesting
Tweet 3: We will keep the faith, and we will keep standing up. https://t.co/oNFKtk0qxk
","Topic 24: disgust, agree, amen, good, truth, horrible, disgusting, soon, video, fix

Topic 1: lose, forget, life, remember, responder, never, honor, september, first, day

Topic 0: kirk, charlie, violence, political, pray, family, country, prayer, young, place

","Topic 24:
Tweet 1: What are they so afraid of?
Tweet 2: Actually, it’s very much alive.
Tweet 3: @darrenmarble Agreed

Topic 1:
Tweet 1: In 2001, Janice Hayes Williams rode shotgun with her Uncle George to visit the Crownsville Hospital Patient Cemetery for the first time – what she saw devastated her. On the gravestones where there should have been names, dates, or any dedication to someone’s life, there were only numbers. Last week, for the first time, more than 1,700 patients – many of whom died from mistreatment and neglect at Maryland’s  historic Black hospital – will have their names properly honored and recognized in the Say My Name Memorial.

This was a long overdue act and an important reminder that we must recognize even the darkest parts of our history so that, as First Lady Dawn Moore said, that we will never go back. While I was stuck in DC for votes, I'm grateful my team could join and present a citation in honor of the Marylanders who lived, worked, and lost their lives in the Crownsville State Hospital. Finally, a special thank you to Janice Hayes Williams and the Friends of Crownsville for their unwavering commitment to honoring the lives lost and ensuring every individual is recognized with dignity.
Tweet 2: Today, we pause and remember the nearly 3,000 lives lost on September 11, 2001. We honor the bravery of our first responders, firefighters, police and all who ran towards danger. Never forget. https://t.co/6eErM6XHim
Tweet 3: I’m here at Ground Zero as we commemorate the 24th anniversary of the September 11th terrorist attacks.

The memories of those we lost that terrible day continue to live on. Let us embrace the best ideals of America as we continue to heal.

God bless America. https://t.co/RULSq57IgK

Topic 0:
Tweet 1: Hearts across America are heavy, broken, and outraged after today's heinous assassination of @charliekirk11. 

We mourn the irreplaceable loss of Charlie as a vibrant, iconic, conservative titan. 

Our country knows Charlie as a loving father of two precious children and a dedicated husband with a huge heart and deep love for America. 

This passionate patriot inspired a generation of young Americans as he fearlessly and boldly promoted free speech, religious liberty, and morality. 

I first met Charlie over a decade ago at an event in the Midwest as he was beginning to build what would become @TPUSA. 

Such an extraordinarily impactful life, murderously cut short. 

Our deepest prayers and sympathy pours out to his wife Erika and their beautiful young children. 

May God Bless Charlie and may he rest in peace.
Tweet 2: Political violence is never acceptable. The shooting of Charlie Kirk must be condemned. I'm thinking of Charlie Kirk and the entire Kirk family during these troubling times.
Tweet 3: Pray for Charlie Kirk. 

Pray for his wife and young children.

",disappeared,disappeared,disappeared,unclear
18_23,"judge, confirm, judicial, district, nominee, senate, court, biden, joe, kamala","Tweet 1: @MGMonforton Not accurate.  Schumer would refile the nominee, wait for Fetterman/full attendance, and break tie with Harris even with Manchin’s no vote.  Seen this before.
Tweet 2: The Senate will keep working to confirm @POTUS’s excellent nominees:

We’ve just moved forward on the nomination of Mustafa Kasubhai to be a District Judge for the District of Oregon.

And we’ll expect to vote on confirming as many as three judges today!
Tweet 3: The Senate has confirmed 220 outstanding federal judges under the Biden-Harris administration, and we're not done. I'm glad we're working overtime as this Congress ends to fill even more vacancies with highly qualified judicial nominees.
","Topic 0: family, donald, work, trump, community, happy, thanksgiving, president, one, make

Topic 3: woman, holdtheline, violence, elimination, international, girl, noexcuse, day, man, right

Topic 1: israel, ceasefire, hezbollah, hamas, hostage, gaza, lebanon, must, peace, agreement

","Topic 0:
Tweet 1: Now we arrive at one of the biggest mysteries in the universe, who can urinate faster - a cat or an elephant?

For a cool $331,000, it turns out it is a tie!

18 seconds each for these speed demons.
Tweet 2: This just shows that the Biden-Harris admin’s refusal to use all the tools in their toolbox is one of the causes of chaos at our southern border.
Tweet 3: Hospice of Orange &amp; Sullivan Counties provides invaluable care &amp; compassion for loved ones &amp; families.

I’m extremely grateful for their service to our community &amp; that Maria from my team could join CAO Monica Bourgeois &amp; the Hospice staff at its recent President’s Breakfast. https://t.co/lZF4xgKiJK

Topic 3:
Tweet 1: Man, I feel like a woman.
Tweet 2: Nearly one in three women will experience physical or sexual violence in their lifetime. There is #NoExcuse

On International Day for the Elimination of Violence against Women, we recommit to ending this cycle —because every woman deserves to live free from violence. https://t.co/oxZbC8A1N0
Tweet 3: Jen Psaki, I’d like to have a word: women and girls don’t want men in private and personal spaces. Women have rights. #HoldTheLine

Topic 1:
Tweet 1: @RealGoebbels88 Sick dude.
Tweet 2: The ceasefire between Israel and Hezbollah is an important step to end the violence and protect civilians on both sides of the border.

It is my hope that this ceasefire will help end the broader conflict in the region, including opening up discussions for a ceasefire in Gaza.
Tweet 3: French President Macron’s call for an arms embargo only strengthens our shared enemies and endangers the lives of American and French citizens.
 
I’m leading a bipartisan call urging Macron to reconsider his decision.
https://t.co/UN6doZHhMc

",disappeared,disappeared,disappeared,disappeared
